 Format                 IAGA-2002                                    |
 Source of Data         Geoscience Australia                         |
 Station Name           Kakadu                                       |
 IAGA CODE              KDU                                          |
 Geodetic Latitude      -12.686                                      |
 Geodetic Longitude     132.472                                      |
 Elevation              14                                           |
 Reported               XYZG                                         |
 Sensor Orientation     ABZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 # D-conversion factor  10000                                        |
 # K9-limit             300                                          |
 # Format binary data.                                               |
 # A complete set is available on the INTERMAGNET CD-ROM/DVD.        |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The Conditions of Use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
 # D conversion factor is a fixed value used to allow                |
 # Declination to be converted from minutes of arc to equivalent     |
 # nanoteslas. Set to H/3438*10000 where H is the annual mean        |
 # value of horizontal intensity.                                    |
DATE       TIME         DOY     KDUX      KDUY      KDUZ      KDUG   |
2017-09-27 00:00:00.000 270     35455.40   1842.90 -29572.90       .30
2017-09-27 00:01:00.000 270     35455.00   1843.10 -29572.60       .20
2017-09-27 00:02:00.000 270     35454.60   1843.30 -29572.20       .20
2017-09-27 00:03:00.000 270     35454.70   1843.70 -29571.80       .20
2017-09-27 00:04:00.000 270     35455.10   1844.00 -29571.70       .20
2017-09-27 00:05:00.000 270     35455.10   1843.80 -29571.70       .30
2017-09-27 00:06:00.000 270     35455.30   1843.80 -29571.60       .40
2017-09-27 00:07:00.000 270     35455.50   1843.80 -29571.60       .30
2017-09-27 00:08:00.000 270     35455.80   1843.80 -29571.40       .20
2017-09-27 00:09:00.000 270     35456.30   1843.70 -29571.50       .40
2017-09-27 00:10:00.000 270     35456.00   1843.90 -29571.40       .40
2017-09-27 00:11:00.000 270     35455.50   1843.80 -29571.20       .30
2017-09-27 00:12:00.000 270     35456.10   1843.00 -29571.20       .30
2017-09-27 00:13:00.000 270     35455.80   1842.80 -29571.40       .30
2017-09-27 00:14:00.000 270     35455.10   1843.10 -29570.90       .30
2017-09-27 00:15:00.000 270     35454.90   1843.20 -29570.60       .20
2017-09-27 00:16:00.000 270     35454.80   1843.20 -29570.40       .30
2017-09-27 00:17:00.000 270     35454.80   1842.80 -29570.30       .40
2017-09-27 00:18:00.000 270     35455.20   1842.80 -29570.30       .30
2017-09-27 00:19:00.000 270     35455.30   1843.00 -29570.10       .20
2017-09-27 00:20:00.000 270     35455.60   1843.10 -29570.10       .40
2017-09-27 00:21:00.000 270     35455.60   1843.20 -29569.90       .30
2017-09-27 00:22:00.000 270     35455.20   1843.60 -29569.70       .10
2017-09-27 00:23:00.000 270     35455.30   1843.80 -29569.70       .20
2017-09-27 00:24:00.000 270     35454.90   1844.10 -29569.50       .30
2017-09-27 00:25:00.000 270     35454.80   1844.20 -29569.30       .30
2017-09-27 00:26:00.000 270     35454.60   1844.10 -29569.30       .20
2017-09-27 00:27:00.000 270     35454.50   1844.00 -29569.30       .30
2017-09-27 00:28:00.000 270     35455.00   1843.50 -29569.40       .30
2017-09-27 00:29:00.000 270     35454.30   1843.90 -29569.30       .30
2017-09-27 00:30:00.000 270     35454.40   1843.90 -29569.00       .20
2017-09-27 00:31:00.000 270     35455.20   1843.60 -29569.20       .30
2017-09-27 00:32:00.000 270     35453.90   1843.90 -29569.10       .20
2017-09-27 00:33:00.000 270     35454.40   1843.70 -29568.90       .40
2017-09-27 00:34:00.000 270     35454.80   1843.50 -29569.10       .30
2017-09-27 00:35:00.000 270     35454.10   1843.20 -29569.00       .30
2017-09-27 00:36:00.000 270     35454.70   1843.20 -29569.00       .30
2017-09-27 00:37:00.000 270     35454.20   1843.50 -29568.90       .30
2017-09-27 00:38:00.000 270     35454.30   1843.30 -29568.70       .40
2017-09-27 00:39:00.000 270     35454.90   1842.80 -29569.00       .40
2017-09-27 00:40:00.000 270     35454.30   1842.80 -29568.90       .40
2017-09-27 00:41:00.000 270     35454.30   1842.60 -29568.80       .20
2017-09-27 00:42:00.000 270     35454.10   1842.50 -29568.70       .30
2017-09-27 00:43:00.000 270     35454.40   1842.40 -29568.80       .30
2017-09-27 00:44:00.000 270     35453.90   1842.40 -29568.60       .30
2017-09-27 00:45:00.000 270     35453.20   1842.40 -29568.50       .50
2017-09-27 00:46:00.000 270     35452.20   1842.50 -29568.10       .30
2017-09-27 00:47:00.000 270     35452.00   1842.60 -29567.90       .30
2017-09-27 00:48:00.000 270     35451.20   1842.80 -29567.70       .30
2017-09-27 00:49:00.000 270     35450.90   1843.00 -29567.50       .30
2017-09-27 00:50:00.000 270     35450.80   1842.90 -29567.40       .20
2017-09-27 00:51:00.000 270     35451.30   1843.00 -29567.50       .20
2017-09-27 00:52:00.000 270     35452.10   1843.00 -29567.60       .20
2017-09-27 00:53:00.000 270     35452.40   1842.90 -29567.80       .30
2017-09-27 00:54:00.000 270     35452.60   1842.80 -29567.90       .20
2017-09-27 00:55:00.000 270     35452.70   1842.80 -29567.90       .20
2017-09-27 00:56:00.000 270     35452.80   1842.70 -29568.00       .10
2017-09-27 00:57:00.000 270     35452.60   1842.60 -29567.90       .20
2017-09-27 00:58:00.000 270     35452.80   1842.50 -29567.80       .30
2017-09-27 00:59:00.000 270     35453.20   1842.30 -29567.90       .30
2017-09-27 01:00:00.000 270     35453.10   1842.40 -29567.90       .30
2017-09-27 01:01:00.000 270     35453.30   1842.40 -29567.80       .20
2017-09-27 01:02:00.000 270     35453.20   1842.30 -29567.80       .20
2017-09-27 01:03:00.000 270     35453.20   1842.30 -29567.80       .40
2017-09-27 01:04:00.000 270     35453.20   1842.50 -29567.70       .30
2017-09-27 01:05:00.000 270     35453.50   1842.70 -29567.70       .30
2017-09-27 01:06:00.000 270     35453.40   1843.10 -29567.60       .30
2017-09-27 01:07:00.000 270     35453.60   1843.40 -29567.50       .30
2017-09-27 01:08:00.000 270     35454.20   1843.80 -29567.50       .20
2017-09-27 01:09:00.000 270     35454.30   1844.20 -29567.50       .20
2017-09-27 01:10:00.000 270     35454.20   1844.30 -29567.50       .20
2017-09-27 01:11:00.000 270     35454.20   1844.30 -29567.60       .20
2017-09-27 01:12:00.000 270     35454.20   1844.50 -29567.60       .30
2017-09-27 01:13:00.000 270     35453.70   1844.70 -29567.50       .30
2017-09-27 01:14:00.000 270     35453.10   1844.90 -29567.40       .20
2017-09-27 01:15:00.000 270     35452.60   1845.10 -29567.20       .20
2017-09-27 01:16:00.000 270     35452.60   1845.20 -29567.10       .30
2017-09-27 01:17:00.000 270     35452.20   1845.50 -29567.00       .40
2017-09-27 01:18:00.000 270     35452.00   1845.60 -29566.90       .20
2017-09-27 01:19:00.000 270     35452.10   1845.80 -29567.00       .20
2017-09-27 01:20:00.000 270     35452.40   1846.00 -29567.00       .30
2017-09-27 01:21:00.000 270     35452.90   1846.00 -29567.10       .30
2017-09-27 01:22:00.000 270     35453.10   1846.00 -29567.20       .20
2017-09-27 01:23:00.000 270     35453.20   1846.10 -29567.20       .30
2017-09-27 01:24:00.000 270     35452.90   1846.20 -29567.20       .30
2017-09-27 01:25:00.000 270     35452.30   1846.10 -29567.20       .40
2017-09-27 01:26:00.000 270     35451.40   1846.10 -29567.10       .30
2017-09-27 01:27:00.000 270     35450.40   1846.30 -29566.70       .30
2017-09-27 01:28:00.000 270     35449.30   1846.50 -29566.30       .30
2017-09-27 01:29:00.000 270     35448.90   1846.70 -29566.00       .30
2017-09-27 01:30:00.000 270     35448.40   1847.00 -29565.90       .20
2017-09-27 01:31:00.000 270     35448.80   1847.10 -29565.80       .30
2017-09-27 01:32:00.000 270     35448.90   1847.10 -29565.90       .20
2017-09-27 01:33:00.000 270     35449.10   1847.10 -29565.90       .10
2017-09-27 01:34:00.000 270     35449.50   1847.20 -29566.00       .30
2017-09-27 01:35:00.000 270     35450.10   1847.10 -29566.00       .30
2017-09-27 01:36:00.000 270     35450.30   1847.20 -29566.00       .40
2017-09-27 01:37:00.000 270     35450.20   1847.10 -29566.00       .30
2017-09-27 01:38:00.000 270     35450.50   1847.00 -29566.00       .20
2017-09-27 01:39:00.000 270     35451.20   1847.10 -29566.00       .20
2017-09-27 01:40:00.000 270     35451.20   1847.20 -29565.90       .20
2017-09-27 01:41:00.000 270     35451.50   1847.10 -29565.90       .30
2017-09-27 01:42:00.000 270     35452.10   1847.10 -29565.90       .20
2017-09-27 01:43:00.000 270     35452.30   1847.20 -29565.80       .40
2017-09-27 01:44:00.000 270     35453.20   1847.20 -29565.80       .30
2017-09-27 01:45:00.000 270     35453.70   1847.40 -29565.80       .10
2017-09-27 01:46:00.000 270     35454.30   1847.50 -29565.70       .10
