 Format                 IAGA-2002                                    |
 Source of Data         Geoscience Australia                         |
 Station Name           Kakadu                                       |
 IAGA CODE              KDU                                          |
 Geodetic Latitude      -12.686                                      |
 Geodetic Longitude     132.472                                      |
 Elevation              14                                           |
 Reported               XYZG                                         |
 Sensor Orientation     ABZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 # D-conversion factor  10000                                        |
 # K9-limit             300                                          |
 # Format binary data.                                               |
 # A complete set is available on the INTERMAGNET CD-ROM/DVD.        |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The Conditions of Use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
 # D conversion factor is a fixed value used to allow                |
 # Declination to be converted from minutes of arc to equivalent     |
 # nanoteslas. Set to H/3438*10000 where H is the annual mean        |
 # value of horizontal intensity.                                    |
DATE       TIME         DOY     KDUX      KDUY      KDUZ      KDUG   |
2017-05-29 00:00:00.000 149     35423.10   1863.70 -29588.00       .60
2017-05-29 00:01:00.000 149     35423.30   1863.60 -29588.00       .50
2017-05-29 00:02:00.000 149     35423.40   1863.30 -29588.00       .60
2017-05-29 00:03:00.000 149     35423.40   1863.00 -29588.00       .60
2017-05-29 00:04:00.000 149     35423.50   1862.70 -29588.00       .50
2017-05-29 00:05:00.000 149     35423.70   1862.50 -29587.90       .50
2017-05-29 00:06:00.000 149     35423.80   1862.30 -29587.90       .60
2017-05-29 00:07:00.000 149     35423.90   1862.20 -29587.80       .50
2017-05-29 00:08:00.000 149     35423.80   1862.20 -29587.70       .60
2017-05-29 00:09:00.000 149     35423.70   1862.20 -29587.60       .60
2017-05-29 00:10:00.000 149     35423.60   1862.20 -29587.50       .60
2017-05-29 00:11:00.000 149     35423.50   1862.20 -29587.30       .50
2017-05-29 00:12:00.000 149     35423.40   1862.10 -29587.20       .60
2017-05-29 00:13:00.000 149     35423.40   1862.10 -29587.10       .50
2017-05-29 00:14:00.000 149     35423.20   1862.10 -29586.90       .50
2017-05-29 00:15:00.000 149     35423.30   1861.90 -29586.80       .60
2017-05-29 00:16:00.000 149     35423.40   1861.70 -29586.80       .50
2017-05-29 00:17:00.000 149     35423.70   1861.50 -29586.80       .60
2017-05-29 00:18:00.000 149     35423.90   1861.30 -29586.80       .60
2017-05-29 00:19:00.000 149     35424.10   1861.30 -29586.70       .60
2017-05-29 00:20:00.000 149     35424.20   1861.20 -29586.60       .50
2017-05-29 00:21:00.000 149     35424.20   1861.00 -29586.50       .60
2017-05-29 00:22:00.000 149     35424.20   1860.90 -29586.40       .70
2017-05-29 00:23:00.000 149     35424.20   1860.80 -29586.30       .60
2017-05-29 00:24:00.000 149     35424.20   1860.50 -29586.20       .50
2017-05-29 00:25:00.000 149     35424.20   1860.30 -29586.10       .50
2017-05-29 00:26:00.000 149     35424.20   1860.30 -29585.90       .50
2017-05-29 00:27:00.000 149     35424.10   1860.30 -29585.80       .60
2017-05-29 00:28:00.000 149     35424.00   1860.20 -29585.70       .60
2017-05-29 00:29:00.000 149     35423.90   1860.10 -29585.60       .50
2017-05-29 00:30:00.000 149     35424.00   1860.00 -29585.50       .60
2017-05-29 00:31:00.000 149     35423.90   1859.80 -29585.40       .70
2017-05-29 00:32:00.000 149     35423.90   1859.90 -29585.30       .60
2017-05-29 00:33:00.000 149     35423.90   1859.70 -29585.20       .50
2017-05-29 00:34:00.000 149     35424.00   1859.60 -29585.20       .60
2017-05-29 00:35:00.000 149     35424.10   1859.50 -29585.10       .60
2017-05-29 00:36:00.000 149     35424.30   1859.30 -29585.10       .50
2017-05-29 00:37:00.000 149     35424.40   1859.20 -29585.20       .60
2017-05-29 00:38:00.000 149     35424.50   1859.30 -29585.10       .70
2017-05-29 00:39:00.000 149     35424.50   1859.30 -29584.90       .60
2017-05-29 00:40:00.000 149     35424.50   1859.20 -29584.80       .50
2017-05-29 00:41:00.000 149     35424.70   1859.10 -29584.80       .50
2017-05-29 00:42:00.000 149     35424.80   1858.90 -29584.80       .50
2017-05-29 00:43:00.000 149     35424.80   1858.90 -29584.90       .50
2017-05-29 00:44:00.000 149     35424.80   1858.80 -29584.80       .40
2017-05-29 00:45:00.000 149     35424.80   1858.80 -29584.80       .70
2017-05-29 00:46:00.000 149     35424.80   1858.80 -29584.70       .60
2017-05-29 00:47:00.000 149     35424.80   1858.60 -29584.70       .50
2017-05-29 00:48:00.000 149     35424.90   1858.50 -29584.70       .40
2017-05-29 00:49:00.000 149     35425.00   1858.20 -29584.70       .60
2017-05-29 00:50:00.000 149     35425.10   1858.10 -29584.70       .50
2017-05-29 00:51:00.000 149     35425.10   1858.00 -29584.60       .40
2017-05-29 00:52:00.000 149     35425.10   1857.90 -29584.60       .60
2017-05-29 00:53:00.000 149     35425.10   1858.00 -29584.50       .60
2017-05-29 00:54:00.000 149     35425.10   1857.90 -29584.40       .40
2017-05-29 00:55:00.000 149     35425.10   1857.70 -29584.40       .60
2017-05-29 00:56:00.000 149     35425.20   1857.40 -29584.40       .70
2017-05-29 00:57:00.000 149     35425.30   1857.20 -29584.40       .70
2017-05-29 00:58:00.000 149     35425.30   1857.00 -29584.40       .60
2017-05-29 00:59:00.000 149     35425.30   1856.80 -29584.40       .60
2017-05-29 01:00:00.000 149     35425.30   1856.60 -29584.30       .40
2017-05-29 01:01:00.000 149     35425.50   1856.50 -29584.40       .50
2017-05-29 01:02:00.000 149     35425.70   1856.40 -29584.40       .50
2017-05-29 01:03:00.000 149     35425.60   1856.30 -29584.30       .50
2017-05-29 01:04:00.000 149     35425.60   1856.30 -29584.30       .50
2017-05-29 01:05:00.000 149     35425.70   1856.40 -29584.20       .50
2017-05-29 01:06:00.000 149     35425.70   1856.50 -29584.10       .80
2017-05-29 01:07:00.000 149     35425.60   1856.60 -29584.00       .50
2017-05-29 01:08:00.000 149     35425.70   1856.80 -29584.00       .50
2017-05-29 01:09:00.000 149     35425.60   1856.70 -29584.00       .50
2017-05-29 01:10:00.000 149     35425.60   1856.60 -29584.00       .60
2017-05-29 01:11:00.000 149     35425.60   1856.40 -29584.10       .50
2017-05-29 01:12:00.000 149     35425.70   1856.20 -29584.20       .50
2017-05-29 01:13:00.000 149     35425.90   1856.00 -29584.30       .50
2017-05-29 01:14:00.000 149     35426.20   1856.00 -29584.40       .70
2017-05-29 01:15:00.000 149     35426.30   1855.90 -29584.40       .50
2017-05-29 01:16:00.000 149     35426.50   1856.00 -29584.40       .70
2017-05-29 01:17:00.000 149     35426.50   1856.00 -29584.40       .60
2017-05-29 01:18:00.000 149     35426.60   1856.00 -29584.40       .70
2017-05-29 01:19:00.000 149     35426.60   1856.10 -29584.40       .70
2017-05-29 01:20:00.000 149     35426.70   1856.10 -29584.40       .80
2017-05-29 01:21:00.000 149     35426.70   1856.20 -29584.40       .70
2017-05-29 01:22:00.000 149     35426.70   1856.40 -29584.40       .60
2017-05-29 01:23:00.000 149     35426.70   1856.20 -29584.40       .50
2017-05-29 01:24:00.000 149     35426.70   1856.30 -29584.40       .50
2017-05-29 01:25:00.000 149     35426.80   1856.30 -29584.40       .60
2017-05-29 01:26:00.000 149     35426.80   1856.40 -29584.40       .50
2017-05-29 01:27:00.000 149     35426.90   1856.40 -29584.40       .60
2017-05-29 01:28:00.000 149     35426.80   1856.50 -29584.30       .60
2017-05-29 01:29:00.000 149     35426.70   1856.60 -29584.20       .60
2017-05-29 01:30:00.000 149     35426.40   1856.70 -29584.20       .50
2017-05-29 01:31:00.000 149     35426.20   1856.80 -29584.10       .50
2017-05-29 01:32:00.000 149     35425.90   1856.90 -29584.00       .50
2017-05-29 01:33:00.000 149     35425.50   1856.90 -29583.90       .60
2017-05-29 01:34:00.000 149     35425.20   1856.90 -29583.80       .60
2017-05-29 01:35:00.000 149     35425.10   1856.80 -29583.70       .60
2017-05-29 01:36:00.000 149     35424.70   1856.70 -29583.60       .70
2017-05-29 01:37:00.000 149     35424.40   1856.50 -29583.60       .60
2017-05-29 01:38:00.000 149     35424.30   1856.50 -29583.50       .50
2017-05-29 01:39:00.000 149     35424.30   1856.50 -29583.50       .60
2017-05-29 01:40:00.000 149     35424.30   1856.30 -29583.40       .50
2017-05-29 01:41:00.000 149     35424.40   1856.30 -29583.40       .40
2017-05-29 01:42:00.000 149     35424.50   1856.10 -29583.50       .50
2017-05-29 01:43:00.000 149     35424.50   1856.20 -29583.50       .40
2017-05-29 01:44:00.000 149     35424.60   1856.30 -29583.40       .50
2017-05-29 01:45:00.000 149     35424.80   1856.20 -29583.30       .50
2017-05-29 01:46:00.000 149     35424.80   1856.30 -29583.30       .60
